1000 750
-1058212532 -9313071556 -1382232465
-237818606 -6093264048 3751355189
6721320291 3881721493 6807677557
5602970522 7380623178 -6356277871
-1676136774 -3297536394 8830615310
-8712849669 -6137665614 7894263316
-8125713154 -8448799976 -3750718553
6309783324 8015680377 -8368567947
-8482821383 9021856306 2387028943
9019618880 6909624331 8745877987
-2027156987 -1529353782 3033303917
-2079986870 -7107688367 2152087291
-3002052530 4087824672 2730737057
-1878653394 -9624040653 -9275481259
-5183047889 -5478067114 8272057027
660533821 -4205877151 -7517003017
7160769272 -8106425946 -125893476
-8975385374 -1208056475 775057757
7405393372 8325938122 7349139956
-2522389694 -2848403633 8239397925
-7457897532 -1861894930 -931535989
6157887286 -8460078146 7320605558
4702606285 -9714488428 -6550834925
4509534750 2336853790 136941178
3405423109 8309499266 -2069658427
6842710607 5267520480 2849430922
-770972278 9159784366 -5869218777
-4082059330 -8137928307 -1418796531
6198970252 -3209336173 -2623045362
8939819161 9602215400 2458383980
-3482510095 -583912033 -5724527077
-1008331030 6756815069 -272000493
-9705280850 190051318 -9505518072
231940300 687691449 8331420287
7394743876 -5817800140 5767607154
-4016326681 -6914210361 -4905374515
-6833393498 3067428280 8768264882
5876999185 -810437062 4375572341
1056135062 6157075332 -7118720475
-2544657337 -7592909734 -8818135251
3017457615 4304054563 3154412406
-2103004549 -234020561 -7693065906
-6111347485 -4910733963 4339462564
-8235909265 -903720875 -5998134028
4771329976 9720848301 -2071616421
-8940817432 -7464536477 -8445130323
4850805405 -6120891526 2684272881
5059379809 -2189189607 -5166447218
-7194984423 6593505071 -7455765195
-8495931713 -1317760799 -9158224384
-6868673075 -5229644485 -3244979222
7407337466 -4299292961 120484994
-637086732 -9569088596 -1283463598
-6615405536 1690389683 4771031651
7609140932 -5281954868 -8666013486
3303365716 -3565625177 8268730415
-3476758805 -5032074478 1910305699
3549813238 5358502851 -1747532414
-761285072 -376726152 -9848811709
-2365273764 -5233569017 -8115941990
1852123700 773134150 -2430433512
797711554 -5575056926 7543246945
-4821388745 -1437067702 -1441957158
7144202425 2946506672 -1382999438
-4797005775 4714174594 8032856437
9944619474 -695991401 -2209696791
6116719522 7491731741 -48244275
-7776192930 2013695501 8082134803
-8624618089 -9942201672 -3216977759
4225095470 -6494371619 8731618966
6961945505 4937141481 3194161027
-7843220556 3145360553 -3542164972
-5904621999 -1217151643 8608731633
6228345143 3191310925 8314239994
-4893898820 -1465961228 -3758741827
3422802160 5570427705 -7504587202
4096292579 -1970005439 3767478610
862919032 4666249074 -889682918
-6945769153 -6891774922 9337869751
8174633401 2379225094 3862312668
173332755 -1521516489 -987097596
-9814630295 -2957634655 7176039699
-664397318 1528250104 -6535713968
3920284733 -2865415700 -2380195653
1654893558 -5446022652 -4380635678
-5289108134 -4086925059 -9957559272
3322504792 1817646136 -3579687506
1315530630 -655397872 8057135962
-5724176372 -6479763415 -581395774
3054619841 -145703080 3318674386
3305782966 -832275096 3400423487
6666516288 7091402465 9009087912
270541176 -7051241825 4382261526
-637609424 -8484094919 4425899416
-8916823265 -4827994198 -9182511675
4147510511 -3294983809 -3573223099
-7806937879 2447933860 8645313791
5177323973 5151678377 5437685790
-6709793952 7677494268 -1475698761
-6452296947 8367688024 -2945174329
1085214939 429737736 -2861521532
8609816816 -6512423949 -2981561123
-5195827393 6904838642 5286217681
2675100534 -2848393598 -8859609735
-4104157319 5408202461 8720240959
7902684393 -1220280908 -9197938334
8326599002 6082769896 9316135604
3755666319 6663843857 1627295846
3444494786 -546077817 -8191937083
-4589604916 -7574449257 -7685034606
-9458007186 453045564 8997155573
7126138645 -4819565244 -1178954919
8971043090 -6493215021 6103940716
7876465450 8691300350 4989273252
-1051146853 -2219436833 -9307658822
-122549685 -726027752 -1534819409
-9716515801 5724907023 -5532418815
5532501563 7411845096 3166289759
332713952 977906206 -3839394924
-8562360422 -3377062811 8681423568
-1145490343 2924522509 4819938228
-4134668179 -880669614 6889402854
-4723333815 805295032 -4408592718
-1577060615 31442559 -5210349852
-5776368361 -6495201287 -398854322
397753139 -1256124227 -8293278355
1834246066 -6034876066 -7256542137
8906796146 -2731326579 2435482922
-9305098752 -1991709018 3033397123
3111846907 6575233845 -4535367004
3895849826 -5146849498 -3120903902
-7353431345 2043303953 2696603729
6201872372 8094850010 -5302716921
-5990289182 -7309981340 5663273061
-4352101460 8059154987 8312347271
-523773835 -698294186 7765768457
2903697158 2359643337 3547869017
-3258124017 6994801958 9009787290
-7355585365 -3301839885 -8839984373
-8119128712 8307456260 -4345049684
7200066983 25827887 -7657200301
-9351818064 4889363949 -5352562976
-1713535448 4749625075 -3223655357
1500940087 -3534589632 3753454710
9375061550 -9809582582 4901688006
9348311702 6391996575 3097526388
5990905938 4472128959 445715685
-1816398823 -2652369450 -4819701540
4576563643 8372313585 9615487366
-7279261520 -9554993816 5426092800
-8212133094 -7099489519 -2792954984
5633182542 -4154704719 -4623200479
4760879308 4601879413 -1369406455
7386163666 7823186755 243937129
9743253770 -5466239756 3346854535
-9078329594 3396597705 -7696441464
4009466617 9729547768 3272402424
-1152559447 -9159066633 -6924137934
9906650673 -1682568347 -9872917613
-7500052062 6087712049 -2153794290
-380999960 5264507496 -3541172738
-4366965108 -4795085519 2806974863
-4417196106 -8089606032 845744402
3359151138 -3122737966 4609818279
-6591327027 -6226108593 -4299883500
-3786705771 -2376765071 5153550775
-4419703689 5854259477 -556203059
3289879014 1070640509 -8875461836
-6681509141 4940839523 2543614632
-9135288026 1968612724 3956042112
1255027608 -4173390013 -3447211499
-4101649328 8656299558 7483070431
3807070083 -3729344760 1704731444
-1343324099 -6216033008 -3624604211
-1841704977 -7157377183 -9941133924
7345336557 5268672165 5460259290
301483179 8657672794 7211478589
-6961060678 -5686194347 6211261669
-2284300335 1271068992 -1638556500
-2136183949 -248182825 4906771267
9200780803 5525800295 -1116464094
-711047232 717963997 -3311061845
-8125912627 -6899413420 -7155326887
4737908435 -8723944268 6201106889
-4986149370 4416923915 4924763556
-1634844763 5327346875 5248777765
-3490788655 4007563186 -2098821418
9411569143 -5121418105 1169802469
5042068581 8802337231 5551279964
-8130616536 -8275519484 -7245681740
-7856949775 2587014185 247549108
8108582593 -1597587063 716356755
-7093913378 9404853403 -7523277623
-3540800208 3624801699 -2210190301
-8828787902 -6865114049 2063622664
7718109686 -3195735904 4825883155
4139448382 778913206 -734611397
-7298061211 6414435782 5909032501
-3776186175 3234653636 -5928023237
2903146987 1265997451 -7744088713
6506753741 4613276140 3491067147
-7455939567 -4551972290 -3831633018
-6309581041 -5284661026 3088423277
8394745571 -6899171833 4145365127
655025716 7702749677 7569938744
4305683303 -6652024949 912553056
516299636 -2770590158 2487399870
5459365126 6983060888 5212778066
7838935639 866997347 -9496297436
5500060284 -2524304610 6192775523
5911214118 2883978072 -8541675717
3106213930 266629111 -7632575191
-2566230472 881706900 -5649534302
7457687319 -4417040577 5881917144
9120441533 -867888467 -1876030748
870487078 -387684596 -6447713497
-2402103781 8183782042 4880435532
-269023331 -835953037 -468134731
7709458472 8732160969 -3677265690
3871116580 4056764755 1034204532
717135176 8534370375 -4207792534
7057207564 -4884165913 -9436313988
1791416175 209804099 5652082226
7682278372 498890129 1439036591
-4690606547 7356794438 -1306551821
-6715114030 -5590440218 854632639
8958049465 8739496715 -9166986648
3938332256 -1831717120 -6091612618
-8145628884 -4884781643 -2421322729
-1492901060 2034407686 -6513925235
-57705389 2118153123 -4599013250
-2039802562 -7475744114 1022252360
3481665220 -2855720607 8587890024
-7314145413 -4274790781 -5861256020
-1136173709 530485227 -380471609
-5040407226 1687414295 -7005398450
7594085864 2781289867 7196754503
-8176485184 8202371752 5217691805
6853165753 9437437584 -252801205
5530996866 3621247877 -442550999
-9302742670 9113106902 -2597360600
9859442577 1700181203 3823307302
6246177140 5611855980 -9741332837
-3003678053 2279405257 5401718389
-3855634909 3336555238 -9533657632
-6477361797 -7261542944 -3743626483
-7413632385 -7380768897 -44804065
6871486522 6468979672 6704923216
-41999327 8433672390 -2468876965
-8665310364 7613802501 -6167212498
-6636790350 1878295752 -7498044335
1980333308 7165883897 -4324797292
924694744 8582659306 -3264307958
-2924925246 5217778012 8435109609
-1373312083 -8374702080 2017512631
1304251030 -4614038694 -1798593889
-8642707545 -6653039935 4243905902
-8649613310 3403658459 -6051013541
7251420924 -7248298642 -9921174783
-2519679650 -4552741552 5324574369
3187718452 3160085191 6094583702
3887906539 3174837992 -9854835989
8075447551 -9562042894 -3892140662
-2154466828 1579493807 1379728233
-802018638 6927352510 4094094530
-644288285 4757324863 -2967313972
-6897391239 -6622687485 -9287957581
-4878932122 2954052544 -6192875148
488167723 9205353069 -46025422
-6299973561 7461837901 -6643851885
7820342945 -3465802238 4998896351
-4509302223 -5846331099 -4619672446
7194888596 -651588978 -6301597692
-9107321811 9841975158 1156629495
-5166265314 8935114028 5113242151
-6954031951 9809450642 7954701714
-6275847920 1130045686 -3264368256
-8234363524 976801257 -7309232141
-8213436614 4820370891 -3360238862
-4602503821 4970827275 3987976086
-1180463513 1147030916 3167292990
4072944417 -4551577247 -1936718278
-2776964057 2109972601 2026143293
-3933509741 2039721058 -2766591144
-7045593888 -1104719577 -9267057269
-918559981 8233251205 -7020614295
8264284016 -4278836020 9834655596
-3602872217 8691648975 -3256489705
4193158069 196743292 -5236501770
8910314666 -9859636433 -203285061
-8738618884 7260873982 -5459703910
-2144310313 -4988906669 -7883344092
4323652723 8503956054 -5394447526
1245251438 9978424928 -7780566350
9756404914 -6840169345 5304078638
7695834852 334303662 5851194090
-6003678936 -5495656501 4743763520
-4038739102 -221974671 9180858191
-6051827459 -5397748310 8429985410
-3270173119 6497383638 4676993454
538298735 5884237718 7200196660
1675737735 -4054741862 -7857002235
4615197832 -2768690826 -8013704736
3285352902 8658018978 -7116242903
6734573271 9557379411 9553224463
1557191672 8567141843 3769209735
2173178173 9033865240 9566794242
-1837411120 -1641671422 -3465219022
-3168766590 9176597590 -7970312702
5737901751 5139153588 2314178728
5311894531 7847356113 6487270313
4967415582 1139471559 -3848714292
-7841442451 8996214947 7243455832
-3236554319 6559284366 -4889668739
3747126246 -1603353625 6958025194
-8939013919 5474801101 53357253
6941991517 -6746513517 -1926371835
7370302733 -4029874142 4691568935
3677973353 6463817342 -8331276694
-8030918991 -7246303744 5964422546
-4453675463 5584954981 3257426028
9426643629 -3175336980 3785986004
-7051973934 2854334902 -7423881681
8886001694 -719948635 6675476319
-3538682738 1640300105 1608015738
-4650403457 -3506319299 1589682272
696563009 1355940900 -962723896
-5996455259 -4570315 9966602893
-7628989699 -3824996475 -1367482600
9563163025 -7907128072 2839720489
-6534152221 -6480581543 -2545162846
-6407236027 -1821599860 5704557254
1779006673 -9147597110 6269071212
-2925642051 7415548988 7897407328
9007140728 -2331831935 -3685985497
7539826299 6484133523 -7300227306
1847296380 -437982969 -3104173288
-6561056446 -7609194015 -2907247973
2674440130 2156916921 4028116668
-6160710455 -7220448518 7712882848
-8870462703 -5419097723 2987788088
-7794088813 1156220971 1220091144
7117472609 -2607821612 2676400187
-7186070991 3941605744 -7840139646
-800494541 -9410900745 -3809741150
-6280651225 2926297895 2514768146
-3819240242 8686331272 7795542271
-6942552436 6501783849 4901712871
-5288628956 1136288437 -485056711
6151485197 5593766603 -6515974356
3466938425 -4115734431 3282457180
-2381078991 1426002121 6557537251
3269805456 -9950834598 -5744956335
3874114500 -4366290081 -4120748148
-7951685150 956758304 -9303940046
8832286901 8046371904 -1320306891
2825968986 4079288587 8971994743
3154113681 133554432 -6728616085
5396240161 7595932363 9392015202
-8623395223 -2650583261 -3228672766
8617346377 8323809821 1203553195
-9079452461 968539906 967118850
-365261379 -3582837551 -159800123
4133868943 -4334311211 -7569035527
-1375528571 -9908178074 8389320525
4452193137 -438641813 -684862302
7838240637 3260250738 505703509
-2431573112 8625803879 8242608824
-3333955481 -7659026273 3016728590
6944910258 -2814686810 8201454838
-7248988498 -5702402468 -1709507066
8466370783 -58911274 -8462067787
-9673399557 -506319843 4882519931
-6461434553 5680881301 9318922039
8689624122 -9173582037 -8112372242
-9665403736 -595096911 5613528003
5031226252 5162923930 -6575936485
5863510951 2257359522 -4021274276
-4300781176 6509476220 3323773517
-5859661897 3995563856 2722211192
5044729933 -2174686462 9596824101
-5714283957 8161562761 -2405256545
-4839057128 6723353161 1493341682
-7839152796 134310264 -1009384505
5105301261 -2999096420 -6457766911
-5609337417 6415081045 -9144923744
-4804103985 -3092335242 -2674871613
5647158153 -8703750517 -1516389943
1399913818 3190771009 17288171
-8230753095 -6177701573 6359520243
-9019417954 -9082964892 -9882979058
7534766845 -9517977295 -4111199573
5467095967 8992230459 -786999800
3868749140 1865789994 -8325227143
3459910247 -2502088854 6134587490
2486577318 -1937787463 602400869
2985167012 1169963177 7566209459
-7809783712 -4349809398 1567642160
-6003248336 9691898522 -530942013
-3665887642 9183456864 1636872701
-1085470973 2546364032 -6288908024
4522615463 -2346407310 7102414336
7840829823 8219202681 7700903331
-6987968278 -8105315096 1719654398
-4560637711 1274516087 2385459801
4915513904 -3703430797 8905196454
-5266372983 -8275397742 -9254065127
5568314555 1739237540 1566544286
2659476495 3438435643 6990060760
-5265759852 1058969804 203905853
5004025589 -3891366812 3839053338
2021539855 5784511097 9218551227
2636098542 -7372796911 1962687776
5246374359 8987317470 -5874376469
-8780664611 -6026452136 2463191364
-754325219 -8545480111 -9391818297
2799689999 4927442515 -4414450874
-8542987792 4190700937 693032617
2670028489 7644890963 -9165843082
-4732334251 8053520640 9599236688
4469838313 -7228403789 6588291073
9670797643 -3594392893 7787646139
-2967934522 3186509131 -1275194844
-112767861 -7404644551 6852066384
-5198444605 -7153030765 -8252990489
6573680022 -7284306203 8733106005
-1731847886 -5417256180 -3715308548
-764982757 -5602053835 8920375893
-9524845327 2571240725 -9823533256
-210584299 -6047923408 7595034003
-5014279199 8336128678 -1451662489
-7394642124 -2345165632 5419802641
-6771598468 -5468039017 6498336036
1172756432 -7777041799 6286579784
3402876874 -5409957905 -8999486883
-4140160956 2183666608 169645682
4540697533 2094604137 2718048708
-4590560245 6939394864 -6907161333
-4893346108 8299898157 560156356
-8105589620 -2699334219 7139998971
6258096898 -4336577071 3788131865
-7389129268 -8963681896 3290363308
2287713004 -8578242693 1246653620
-2157000393 8079605350 -6739941090
7912993853 4884712771 -8477708810
-664260455 -3885556237 -3238677424
3299739017 2761486427 -2613786021
2036865617 -7512569817 1523814663
-3452078433 1912813014 -2966156586
-9315579824 -9685499050 -7159136881
4906223606 -7930773709 -3334190802
551220794 -503885590 -7660944051
-2818892642 5893205552 293539641
4581665819 -2947495685 4541723490
-9700817470 4114514468 -2014751937
-3543011175 -3654540893 -3575920841
-3586451520 9008616673 -2089306203
5348282702 3702878281 -7948136926
-6122121264 -115010972 5901836148
-8310996543 -4924308331 6338368602
9684714539 -5708347425 -9184090743
3780750937 -7506613930 3061283952
-48032231 1139581317 -1749693669
6273071123 -6229275518 2200804495
-3749982535 -5561501920 2265158376
-4288532950 9094699353 -1247129072
3900195332 -5835357648 -2464681772
-4922103356 5646976508 -4735122569
6761981701 -2531293704 4753695972
-6227067871 8991221138 5472556237
7279629921 3950631225 6787265965
548913479 8658881398 -7850150292
-1411046720 -149327336 -3523588806
9933864307 8455989904 7796549993
-1199076981 -3110673690 7920147281
7577204611 -4172429774 3041833499
2944145168 -5450241401 4271896651
3200312867 581028697 9894622775
7446907463 -603472877 -9128681013
-8829115853 650895308 -8217827804
-5540667841 3557572644 7602292320
7521885317 7896099859 1157826048
6082924805 6616185314 5423154188
3070936566 7782129892 -8598361859
-7695312948 5690717295 1134910185
6563955151 -9575545149 -2440722167
2615507770 -4401350510 2066950472
-1590443174 6378430750 1777929947
4731393086 -3669296999 7123942643
-7957752147 2609999844 -7867707240
7738107689 9409168885 -7635846948
-705793057 -714412143 6478681287
7591530359 299188735 -2731976192
3165777448 -3811305660 3934276183
5778493703 -3728464848 -2742087635
-5638118465 6293977253 5979522287
8851017978 8511227717 -2916608473
2442440232 4529393726 3306244974
2135529833 2278627525 -1384716953
4526581502 -2412729392 9518990726
4369026182 4456972268 8471365878
3225071556 -9362106351 5287474092
-4234152439 -8689512405 3672233987
-7054211777 2623898728 -8244882957
1325007888 -5766777839 -8789761476
1894995678 7469290167 3882302507
2882563815 -5620446872 520168147
9705525474 -1621340910 -5503039907
-7283711662 -1577271 5667608719
4155310085 -3376621782 -1021826363
-4533184977 -438586725 -994096424
1610101131 -6200950602 5777466077
-1464467115 2566568018 -3394786347
-3134989720 3227387350 -4132062651
-8867468690 4201703003 6871108193
-5862383758 -3948227867 -9086545927
-2445844565 4515758924 -2942434451
-6345430036 -1973433515 -2073044803
1727514515 901890758 8871624955
6612267003 3092287787 -1098945983
6503800481 -5338631031 -1847373425
7178666549 2922830539 2065660690
3656676308 -1898785750 911344396
-6846969640 7482873961 -4544039983
8707911034 7682224860 9637019624
-1405516301 4017417326 -9511935224
-2862142819 -2201990629 8831395429
-2855174428 4389203036 -1358992639
-6381417205 7593906279 6375716381
-5135948083 -8040753721 -478921491
2878399922 -4544185460 3014580831
8294328719 1295749086 9425080562
-980616021 2059295024 -4184696922
-6892037012 -3189208158 3946075228
5208530719 -6583941249 2851734374
-855548680 -6313741089 875347879
4868163242 8408448398 7675733720
6778243500 5658581285 -7584670673
-2952501193 7920180820 -2360866811
9149923485 -4416253019 -2817173726
-738518933 6217062151 5468553149
-8098960784 -3602086081 2958400185
6241100080 5458494839 -586595690
2892523356 -817797557 -4358343778
-158664569 2728560363 5366707527
7165994100 1748045903 -4420871382
-3610713880 -7551400661 3058243359
-8317522098 3854917514 -7395738216
-1640816033 3537311652 -3926966631
-7514333207 8770796707 9394285703
2096836594 788224078 -5902916454
2252617536 3876052355 -725258304
-9676317027 3337916045 -4948150563
-3180632432 2465162341 -2834814844
8101150003 5174157196 -9484144870
-9544306104 4501676520 492174866
-8214167507 9314302798 1838020870
-7657847979 -6912657452 -9167302577
7449023901 9562330927 -205822248
-9709466621 -2694356941 -6966770839
-40829278 -1719438241 7206852654
9978910180 1720475427 8034443434
8870218782 3331362307 7573972931
7344632579 -4669232221 4148863128
2239643478 8347817237 8646485585
-5775058059 4860121470 -398386989
-8156530747 -1435593856 -27742227
5628735310 2598321091 -4457946054
1479207860 -5580830969 -2347696220
-7913799829 1947902600 5563462862
1272315932 -2520558998 7689729266
6933627274 5510122661 8576948115
-5564004491 3325527167 9958141897
3181576554 1519175299 5268607931
396312623 5111601768 -8674683402
5729143934 9661992029 -4058342561
560325144 5794723276 321333401
-8297509491 2534654634 -6638438924
-7009236485 1999492560 -8761254999
6954619768 736970867 -5464460427
2448554234 -3570419472 7159635257
2632793046 -5977154944 -7536223088
-9648780051 -2150472531 -8346728254
8659176302 269419153 -5056135287
6426224544 6082858833 45540248
3206311430 -8091522188 -8367214743
7743326051 -9843945918 8190335199
6587777034 -426876829 -5043109199
-3245536200 7304849861 -7484827971
-9018451877 -7484634968 8551249390
7466620872 -4709947288 2687981064
7055464116 916888134 4750530888
-8879557040 -7230387867 -9670418660
9386309292 -9689763750 3397324070
6118832727 -3609421258 -6769488175
-2505935717 8165179068 5986734696
3246249366 -4587501249 8360382869
-6100509290 -2720068735 -2269728677
-3045533283 3593582248 2717162272
3001868361 -4076876442 9398167799
-7046742016 -2681394955 1295284836
-7274084659 -7919420885 104173389
5222787052 8684661717 5295188392
-4012976181 -5814537768 4487823214
8881415987 -7075687200 -6505788524
7413567906 5441590801 -2291295498
-7081147261 4133368571 6817426690
5789969814 8312843723 -8438026421
604387838 4820910147 -7637530167
-1801449322 9716163648 -8077686624
-2494010951 931564829 1372802173
3172300978 -7499268206 -5013366749
6340705617 942847299 3265517523
4117417441 -9513695911 -5230071490
6049958613 -7779329804 2328204381
5567998062 4374614814 -8651838717
1373581979 6364363607 -4590939397
746898155 2050873023 7554133944
2531548853 -2179321331 5477783338
-8222479394 -9378691317 523146857
4976706671 -7568144121 -2623064219
9550093278 -3840780490 -2013286246
-890391193 7114537447 8689449043
161100227 2818638460 -5942299883
4986756301 -1042740692 213142843
-9615545588 -4801140676 -9340697957
-5044624826 -4934501479 3381050496
9423933959 7459195243 4217315719
-9513909985 -4319667309 -7101449134
-7835045227 -2319540810 -101618648
-4982122606 -610921929 -7629487304
9641136381 4166135307 -1872736332
-4397557504 1701085763 -4206508970
-6985079964 -6513404077 -7437720623
-3204683849 -9368168306 1326558002
3606670608 7751899614 870129508
9926837411 4514303423 2264452496
-9147559234 -6073370159 4631759616
1289308152 -3903589318 887284851
-5681940217 5123727310 8978134458
5597457055 -7499302262 -3220716113
-4271815081 -4374531070 4387769974
-9695241895 3699890029 1189272411
-6609449254 -6280460969 -288875241
-2846291151 -3345727750 -4667132020
-2445532099 -8548389834 7017761386
7999704416 7651659741 9770038878
9726832282 -650008769 -4749841718
-8860059304 -4466893574 -9625308260
-1231023170 -9292515167 8418315826
6252107638 -7346561839 -3411341981
-6461520457 4084334153 8756964416
7572074686 -1137166830 -3931057897
5445019732 1678788495 -1770992172
4892309042 -7226716924 2597325636
572587936 -2716485168 8446019218
680373925 -3348904839 -2217536934
-6891182439 5448014086 2640120054
5704593739 8976077379 9504836286
-7724830623 6557777699 -4011400720
-1845402327 -5651939962 7830653306
-72144694 9207625368 7325594617
-3472365749 -4369165599 5328638563
-6377580362 5966551673 9722803477
3487864118 2040788505 -3177973512
9235158829 5966739183 -3397993039
-1466694106 -2895362806 -5359420081
-2126380583 7718812031 -7737986325
-9821002154 4818637724 5291070724
9239497676 -7754945470 -719480874
-1333218081 5739998842 9943881831
4457926164 -1779129006 4010587049
2632410505 -1594140873 -4985291336
4536219847 8611406412 6393702281
2633632826 566987864 7481273491
-9944105607 -143028214 3937302953
9617959994 2756013827 -1663961786
9361567592 -5842112993 7397111079
-7371764479 -1320881512 7801136199
-5878214820 -9868610281 -7863996822
3262904017 -8142079268 -5706809407
8764863253 3880452517 4535102798
3008276744 -2501437381 5500964466
9593112464 2393264596 -265725943
2496509345 -912846979 1785815144
2195569043 9490077954 781598728
1499022153 1479413322 -6984746734
5843320240 -9179081739 -7470486626
-4091616469 -8387347458 211668481
-9611712648 -3130411306 -4893709452
-1535813262 -9490471154 8893032500
5049353385 4493556544 -8168229789
-4833256747 7302493547 419382191
9934434193 -1679304079 -8739664529
-5357145201 5335027196 -2758075899
-9040985004 -9078679565 -9642631553
-2303684445 -6638564474 5777267433
6068912741 -3064892028 2055229315
9150981185 4972490123 7661970944
-4421363359 190777705 -1457684135
9140660282 9082627067 5940217076
7595364664 -6449939395 -7924579345
-510837881 -6584671879 -107753406
-8287149996 -4653725032 -6517284924
-7506796303 -4678535700 5978070707
4927473123 7838627009 -4098989094
9042822382 2004912773 -4281678611
-7243686667 6653428392 -2510386095
2992057078 -6281825769 9251086127
-6036765139 3736693240 -8145894630
7671132183 -8942368387 6214570430
-2928634463 -8166210630 -3198134246
-7162620437 -676668190 -9081111124
-5338734321 2977629584 1502982237
-2143513485 -744698265 6820070920
-2291535016 -2814350944 -494342079
-7237449713 -1004265656 6690189821
-3926447102 -4998102696 6964945895
2200260525 -6643359088 -4072408610
982047085 -3063771039 -7945848940
5546082858 -7603950957 -5708528315
8810304469 -3996031045 896589753
5303185559 5583408901 -214375915
501649262 4919191088 726751802
-6579434383 -6313398425 8368782997
-3088161299 1203236704 3243792484
3008903522 4169562678 6316065112
2499503241 -335681408 4292902073
-2849353063 -6292622025 -5663229027
4202705734 -356051842 -8703142825
-3617185989 1873484071 548689922
751899372 8505554363 -4187361038
-9125763440 7131258295 3188424201
4381677628 -3317997579 -5199968586
3759772485 -6437720677 -1231735022
-1253201117 8445071837 6415709581
8395081040 8488021983 9548321981
5639346535 6080967433 139306237
-4365777607 5063954140 9080866089
9370882494 -6016214654 -6019117472
4981364918 3626577226 7902340492
5964366248 -350459216 6033386362
-5200951973 -6798098740 4981263503
9155404237 1829533289 8127459953
-6369147503 -6415758781 9039521267
-3150182255 6535021121 6815262430
2398126591 3990659141 2115268267
-4254642070 -7733882257 1380791870
